ppt_number,ppt_gender,condition,round_number,binary_classification,chris_prob,ppt_contrib,chris_contrib,ppt_RT,prediction_report,prediction_RT,chris_behavior,turing_test,ppt_payment,start_strategy,p1_choice,p2_choice
1,female,low_vol,28,FALSE,0.35,0,0,2231.995,0.04,2486.995,neither,human,1.76,0,0,0
1,female,low_vol,29,FALSE,0.35,0,0,1473,0.04,2486.995,neither,human,1.76,0,0,0
1,female,low_vol,30,FALSE,0.35,0,0,2930,0.04,2486.995,neither,human,1.76,0,0,0
1,female,low_vol,31,FALSE,0.35,0,0,1536,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,32,FALSE,0.35,0,20,2334.995,0.03,6822,neither,human,1.76,0,0,1
1,female,low_vol,33,FALSE,0.35,20,20,1448.005,0.03,6822,neither,human,1.76,0,1,1
1,female,low_vol,34,FALSE,0.35,20,0,1416.005,0.03,6822,neither,human,1.76,0,1,0
1,female,low_vol,35,FALSE,0.35,0,0,1654.995,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,36,FALSE,0.35,0,0,2215,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,37,FALSE,0.35,0,0,3191,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,38,FALSE,0.35,0,0,2047,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,39,FALSE,0.35,0,0,1942.995,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,40,FALSE,0.35,0,0,2575.005,0.03,6822,neither,human,1.76,0,0,0
1,female,low_vol,41,FALSE,0.65,0,0,3383,0.03,2118.005,neither,human,1.76,0,0,0
1,female,low_vol,42,FALSE,0.65,0,20,2110.995,0.03,2118.005,neither,human,1.76,0,0,1
1,female,low_vol,43,FALSE,0.65,20,20,1215.005,0.03,2118.005,neither,human,1.76,0,1,1
1,female,low_vol,44,FALSE,0.65,20,20,1871.995,0.03,2118.005,neither,human,1.76,0,1,1
1,female,low_vol,45,FALSE,0.65,20,0,1944,0.03,2118.005,neither,human,1.76,0,1,0
1,female,low_vol,46,FALSE,0.65,20,0,2702,0.03,2118.005,neither,human,1.76,0,1,0
1,female,low_vol,47,FALSE,0.65,0,0,1457,0.03,2118.005,neither,human,1.76,0,0,0
1,female,low_vol,48,FALSE,0.65,0,20,2271,0.03,2118.005,neither,human,1.76,0,0,1
1,female,low_vol,49,FALSE,0.65,0,0,1960,0.03,2118.005,neither,human,1.76,0,0,0
1,female,low_vol,50,FALSE,0.65,0,0,1913,0.03,2118.005,neither,human,1.76,0,0,0
1,female,low_vol,51,FALSE,0.65,0,20,2176.995,0.45,3680,neither,human,1.76,0,0,1
1,female,low_vol,52,FALSE,0.65,20,20,1506,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,53,FALSE,0.65,20,20,1830.995,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,54,FALSE,0.65,20,0,1560,0.45,3680,neither,human,1.76,0,1,0
1,female,low_vol,55,FALSE,0.65,20,20,2632,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,56,FALSE,0.65,20,20,1354,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,57,FALSE,0.65,20,20,1817,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,58,FALSE,0.65,20,20,1942.005,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,59,FALSE,0.65,20,20,1759.995,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,60,FALSE,0.65,20,20,1903.995,0.45,3680,neither,human,1.76,0,1,1
1,female,low_vol,61,FALSE,0.65,20,0,1705,0.45,3087.995,neither,human,1.76,0,1,0
1,female,low_vol,62,FALSE,0.65,20,20,1895.995,0.45,3087.995,neither,human,1.76,0,1,1
1,female,low_vol,63,FALSE,0.65,20,20,1215.995,0.45,3087.995,neither,human,1.76,0,1,1
1,female,low_vol,64,FALSE,0.65,20,0,1672,0.45,3087.995,neither,human,1.76,0,1,0
1,female,low_vol,65,FALSE,0.65,20,0,1974.995,0.45,3087.995,neither,human,1.76,0,1,0
1,female,low_vol,66,FALSE,0.65,20,20,1733.995,0.45,3087.995,neither,human,1.76,0,1,1
1,female,low_vol,67,FALSE,0.65,20,20,2127,0.45,3087.995,neither,human,1.76,0,1,1
1,female,low_vol,68,FALSE,0.65,20,20,1800,0.45,3087.995,neither,human,1.76,0,1,1
1,female,low_vol,69,FALSE,0.65,20,0,1481,0.45,3087.995,neither,human,1.76,0,1,0
1,female,low_vol,70,FALSE,0.65,20,20,1743,0.45,3087.995,neither,human,1.76,0,1,1
1,female,low_vol,71,FALSE,0.65,20,20,1392,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,72,FALSE,0.65,20,20,1976,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,73,FALSE,0.65,20,20,2047,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,74,FALSE,0.65,20,0,1376.005,0.56,2519,neither,human,1.76,0,1,0
1,female,low_vol,75,FALSE,0.65,20,20,1992.005,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,76,FALSE,0.65,20,20,1926.995,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,77,FALSE,0.65,20,20,1751,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,78,FALSE,0.65,20,20,1887,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,79,FALSE,0.65,20,20,1617,0.56,2519,neither,human,1.76,0,1,1
1,female,low_vol,80,FALSE,0.65,20,20,1864,0.56,2519,neither,human,1.76,0,1,1
3,male,low_vol,1,FALSE,0.35,20,0,3804.385,0.16,5513.45,neither,computer,2.62,0,1,0
3,male,low_vol,2,FALSE,0.35,20,0,3437.005,0.16,5513.45,neither,computer,2.62,0,1,0
3,male,low_vol,3,FALSE,0.35,0,20,5287.07,0.16,5513.45,neither,computer,2.62,0,0,1
3,male,low_vol,4,FALSE,0.35,20,0,2535.215,0.16,5513.45,neither,computer,2.62,0,1,0
3,male,low_vol,5,FALSE,0.35,20,0,2789.215,0.16,5513.45,neither,computer,2.62,0,1,0
3,male,low_vol,6,FALSE,0.35,20,0,2486.705,0.16,5513.45,neither,computer,2.62,0,1,0
3,male,low_vol,7,FALSE,0.35,0,20,2466.45,0.16,5513.45,neither,computer,2.62,0,0,1
3,male,low_vol,8,FALSE,0.35,0,0,2672.715,0.16,5513.45,neither,computer,2.62,0,0,0
3,male,low_vol,9,FALSE,0.35,0,0,2544.915,0.16,5513.45,neither,computer,2.62,0,0,0
3,male,low_vol,10,FALSE,0.35,0,20,2525.435,0.16,5513.45,neither,computer,2.62,0,0,1
3,male,low_vol,11,FALSE,0.35,20,0,4541.915,0.08,4111.26,neither,computer,2.62,0,1,0
3,male,low_vol,12,FALSE,0.35,0,0,2280.48,0.08,4111.26,neither,computer,2.62,0,0,0
3,male,low_vol,13,FALSE,0.35,0,20,2054.7,0.08,4111.26,neither,computer,2.62,0,0,1
3,male,low_vol,14,FALSE,0.35,0,0,2204.045,0.08,4111.26,neither,computer,2.62,0,0,0
3,male,low_vol,15,FALSE,0.35,0,20,1742.41,0.08,4111.26,neither,computer,2.62,0,0,1
3,male,low_vol,16,FALSE,0.35,0,20,2467.33,0.08,4111.26,neither,computer,2.62,0,0,1
3,male,low_vol,17,FALSE,0.35,0,20,2378.82,0.08,4111.26,neither,computer,2.62,0,0,1
3,male,low_vol,18,FALSE,0.35,0,0,2516.28,0.08,4111.26,neither,computer,2.62,0,0,0
3,male,low_vol,19,FALSE,0.35,0,0,1997.535,0.08,4111.26,neither,computer,2.62,0,0,0
3,male,low_vol,20,FALSE,0.35,0,0,1664,0.08,4111.26,neither,computer,2.62,0,0,0
3,male,low_vol,21,FALSE,0.35,0,20,2476.255,0.08,1168.48,neither,computer,2.62,0,0,1
3,male,low_vol,22,FALSE,0.35,0,20,2584.13,0.08,1168.48,neither,computer,2.62,0,0,1
3,male,low_vol,23,FALSE,0.35,0,20,1873.845,0.08,1168.48,neither,computer,2.62,0,0,1
3,male,low_vol,24,FALSE,0.35,0,0,1235.77,0.08,1168.48,neither,computer,2.62,0,0,0
3,male,low_vol,25,FALSE,0.35,0,0,907.815,0.08,1168.48,neither,computer,2.62,0,0,0
3,male,low_vol,26,FALSE,0.35,0,20,921.38,0.08,1168.48,neither,computer,2.62,0,0,1
3,male,low_vol,27,FALSE,0.35,0,0,1046.985,0.08,1168.48,neither,computer,2.62,0,0,0
3,male,low_vol,28,FALSE,0.35,0,20,1143.87,0.08,1168.48,neither,computer,2.62,0,0,1
3,male,low_vol,29,FALSE,0.35,0,0,1082.73,0.08,1168.48,neither,computer,2.62,0,0,0
3,male,low_vol,30,FALSE,0.35,0,0,973.555,0.08,1168.48,neither,computer,2.62,0,0,0
3,male,low_vol,31,FALSE,0.35,0,0,1182.425,0.08,1382.725,neither,computer,2.62,0,0,0
3,male,low_vol,32,FALSE,0.35,0,20,746.76,0.08,1382.725,neither,computer,2.62,0,0,1
3,male,low_vol,33,FALSE,0.35,0,0,887.855,0.08,1382.725,neither,computer,2.62,0,0,0
3,male,low_vol,34,FALSE,0.35,0,20,748.005,0.08,1382.725,neither,computer,2.62,0,0,1
3,male,low_vol,35,FALSE,0.35,0,0,762.495,0.08,1382.725,neither,computer,2.62,0,0,0
3,male,low_vol,36,FALSE,0.35,0,0,754.14,0.08,1382.725,neither,computer,2.62,0,0,0
3,male,low_vol,37,FALSE,0.35,0,0,667.74,0.08,1382.725,neither,computer,2.62,0,0,0
3,male,low_vol,38,FALSE,0.35,0,20,610.065,0.08,1382.725,neither,computer,2.62,0,0,1
3,male,low_vol,39,FALSE,0.35,0,0,908.765,0.08,1382.725,neither,computer,2.62,0,0,0
3,male,low_vol,40,FALSE,0.35,0,20,720.025,0.08,1382.725,neither,computer,2.62,0,0,1
3,male,low_vol,41,FALSE,0.65,0,0,1613.9,0.08,1332.075,neither,computer,2.62,0,0,0
3,male,low_vol,42,FALSE,0.65,0,20,765.145,0.08,1332.075,neither,computer,2.62,0,0,1
3,male,low_vol,43,FALSE,0.65,0,0,769.09,0.08,1332.075,neither,computer,2.62,0,0,0
3,male,low_vol,44,FALSE,0.65,0,0,776.72,0.08,1332.075,neither,computer,2.62,0,0,0
3,male,low_vol,45,FALSE,0.65,0,20,752.245,0.08,1332.075,neither,computer,2.62,0,0,1
3,male,low_vol,46,FALSE,0.65,0,20,941.15,0.08,1332.075,neither,computer,2.62,0,0,1
3,male,low_vol,47,FALSE,0.65,0,0,809.795,0.08,1332.075,neither,computer,2.62,0,0,0
3,male,low_vol,48,FALSE,0.65,0,20,743.515,0.08,1332.075,neither,computer,2.62,0,0,1
3,male,low_vol,49,FALSE,0.65,0,20,910.175,0.08,1332.075,neither,computer,2.62,0,0,1
3,male,low_vol,50,FALSE,0.65,0,0,996.055,0.08,1332.075,neither,computer,2.62,0,0,0
3,male,low_vol,51,FALSE,0.65,0,0,1424.14,0.08,8234.06,neither,computer,2.62,0,0,0
3,male,low_vol,52,FALSE,0.65,0,20,753.425,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,53,FALSE,0.65,0,20,880.15,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,54,FALSE,0.65,0,20,963.575,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,55,FALSE,0.65,0,20,1084.125,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,56,FALSE,0.65,0,0,952.75,0.08,8234.06,neither,computer,2.62,0,0,0
3,male,low_vol,57,FALSE,0.65,0,20,723.61,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,58,FALSE,0.65,0,20,850.455,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,59,FALSE,0.65,0,20,838.13,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,60,FALSE,0.65,0,20,1050.045,0.08,8234.06,neither,computer,2.62,0,0,1
3,male,low_vol,61,FALSE,0.65,0,0,2328.61,0.18,5302.82,neither,computer,2.62,0,0,0
3,male,low_vol,62,FALSE,0.65,0,0,727.805,0.18,5302.82,neither,computer,2.62,0,0,0
3,male,low_vol,63,FALSE,0.65,0,20,656.245,0.18,5302.82,neither,computer,2.62,0,0,1
3,male,low_vol,64,FALSE,0.65,0,20,744.08,0.18,5302.82,neither,computer,2.62,0,0,1
3,male,low_vol,65,FALSE,0.65,0,20,778.84,0.18,5302.82,neither,computer,2.62,0,0,1
3,male,low_vol,66,FALSE,0.65,0,0,722.715,0.18,5302.82,neither,computer,2.62,0,0,0
3,male,low_vol,67,FALSE,0.65,0,0,635.57,0.18,5302.82,neither,computer,2.62,0,0,0
3,male,low_vol,68,FALSE,0.65,0,20,655.55,0.18,5302.82,neither,computer,2.62,0,0,1
3,male,low_vol,69,FALSE,0.65,0,0,816.535,0.18,5302.82,neither,computer,2.62,0,0,0
3,male,low_vol,70,FALSE,0.65,0,20,701.43,0.18,5302.82,neither,computer,2.62,0,0,1
3,male,low_vol,71,FALSE,0.65,0,20,1227.61,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,72,FALSE,0.65,0,20,743.89,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,73,FALSE,0.65,0,20,942.995,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,74,FALSE,0.65,0,20,754.22,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,75,FALSE,0.65,0,20,721.64,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,76,FALSE,0.65,0,0,745.06,0.18,1049.08,neither,computer,2.62,0,0,0
3,male,low_vol,77,FALSE,0.65,0,20,673.065,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,78,FALSE,0.65,0,20,722.435,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,79,FALSE,0.65,0,20,787.47,0.18,1049.08,neither,computer,2.62,0,0,1
3,male,low_vol,80,FALSE,0.65,0,0,853,0.18,1049.08,neither,computer,2.62,0,0,0
4,male,low_vol,1,FALSE,0.35,20,0,3268.78,0.04,6599.61,neither,computer,2.78,0,1,0
4,male,low_vol,2,FALSE,0.35,0,0,1457.845,0.04,6599.61,neither,computer,2.78,0,0,0
4,male,low_vol,3,FALSE,0.35,0,0,2330.195,0.04,6599.61,neither,computer,2.78,0,0,0
4,male,low_vol,4,FALSE,0.35,0,0,1295.605,0.04,6599.61,neither,computer,2.78,0,0,0
4,male,low_vol,5,FALSE,0.35,0,0,1840.14,0.04,6599.61,neither,computer,2.78,0,0,0
4,male,low_vol,6,FALSE,0.35,0,20,1603.785,0.04,6599.61,neither,computer,2.78,0,0,1
4,male,low_vol,7,FALSE,0.35,20,0,3472.585,0.04,6599.61,neither,computer,2.78,0,1,0
4,male,low_vol,8,FALSE,0.35,0,0,2169.6,0.04,6599.61,neither,computer,2.78,0,0,0
4,male,low_vol,9,FALSE,0.35,0,20,1816.105,0.04,6599.61,neither,computer,2.78,0,0,1
4,male,low_vol,10,FALSE,0.35,0,0,1371.905,0.04,6599.61,neither,computer,2.78,0,0,0
4,male,low_vol,11,FALSE,0.35,0,20,2119.61,0.1,3815.405,neither,computer,2.78,0,0,1
4,male,low_vol,12,FALSE,0.35,0,0,1548.085,0.1,3815.405,neither,computer,2.78,0,0,0
4,male,low_vol,13,FALSE,0.35,0,20,1519.53,0.1,3815.405,neither,computer,2.78,0,0,1
4,male,low_vol,14,FALSE,0.35,0,0,2184.6,0.1,3815.405,neither,computer,2.78,0,0,0
4,male,low_vol,15,FALSE,0.35,0,0,2164.505,0.1,3815.405,neither,computer,2.78,0,0,0
4,male,low_vol,16,FALSE,0.35,0,0,1568.135,0.1,3815.405,neither,computer,2.78,0,0,0
4,male,low_vol,17,FALSE,0.35,0,0,1504.215,0.1,3815.405,neither,computer,2.78,0,0,0
4,male,low_vol,18,FALSE,0.35,0,20,2142.06,0.1,3815.405,neither,computer,2.78,0,0,1
4,male,low_vol,19,FALSE,0.35,0,20,1876.355,0.1,3815.405,neither,computer,2.78,0,0,1
4,male,low_vol,20,FALSE,0.35,0,20,2314.155,0.1,3815.405,neither,computer,2.78,0,0,1
4,male,low_vol,21,FALSE,0.35,20,20,1755.85,0.1,2775.525,neither,computer,2.78,0,1,1
4,male,low_vol,22,FALSE,0.35,20,20,1307.605,0.1,2775.525,neither,computer,2.78,0,1,1
4,male,low_vol,23,FALSE,0.35,20,20,1169.91,0.1,2775.525,neither,computer,2.78,0,1,1
4,male,low_vol,24,FALSE,0.35,20,0,1661.215,0.1,2775.525,neither,computer,2.78,0,1,0
4,male,low_vol,25,FALSE,0.35,0,0,1357.365,0.1,2775.525,neither,computer,2.78,0,0,0
4,male,low_vol,26,FALSE,0.35,0,0,1334.385,0.1,2775.525,neither,computer,2.78,0,0,0
4,male,low_vol,27,FALSE,0.35,0,0,1649.87,0.1,2775.525,neither,computer,2.78,0,0,0
4,male,low_vol,28,FALSE,0.35,0,20,2532.02,0.1,2775.525,neither,computer,2.78,0,0,1
4,male,low_vol,29,FALSE,0.35,0,20,1698.79,0.1,2775.525,neither,computer,2.78,0,0,1
4,male,low_vol,30,FALSE,0.35,0,0,1256.695,0.1,2775.525,neither,computer,2.78,0,0,0
4,male,low_vol,31,FALSE,0.35,0,20,1814.845,0.04,2824.26,neither,computer,2.78,0,0,1
4,male,low_vol,32,FALSE,0.35,0,0,2155.34,0.04,2824.26,neither,computer,2.78,0,0,0
4,male,low_vol,33,FALSE,0.35,0,20,1434.205,0.04,2824.26,neither,computer,2.78,0,0,1
4,male,low_vol,34,FALSE,0.35,0,20,1138.3,0.04,2824.26,neither,computer,2.78,0,0,1
4,male,low_vol,35,FALSE,0.35,0,20,1508.015,0.04,2824.26,neither,computer,2.78,0,0,1
4,male,low_vol,36,FALSE,0.35,0,20,1437.86,0.04,2824.26,neither,computer,2.78,0,0,1
4,male,low_vol,37,FALSE,0.35,0,20,1433.995,0.04,2824.26,neither,computer,2.78,0,0,1
4,male,low_vol,38,FALSE,0.35,0,0,1078.43,0.04,2824.26,neither,computer,2.78,0,0,0
4,male,low_vol,39,FALSE,0.35,0,0,989.635,0.04,2824.26,neither,computer,2.78,0,0,0
4,male,low_vol,40,FALSE,0.35,0,0,1197.79,0.04,2824.26,neither,computer,2.78,0,0,0
4,male,low_vol,41,FALSE,0.65,0,20,1451.51,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,42,FALSE,0.65,0,0,1975.81,0.04,1642,neither,computer,2.78,0,0,0
4,male,low_vol,43,FALSE,0.65,0,20,1040.355,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,44,FALSE,0.65,0,20,1540.36,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,45,FALSE,0.65,0,20,1368.035,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,46,FALSE,0.65,0,20,1239.23,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,47,FALSE,0.65,0,20,2201.46,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,48,FALSE,0.65,0,20,1688.095,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,49,FALSE,0.65,0,20,1816.1,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,50,FALSE,0.65,0,20,1881.84,0.04,1642,neither,computer,2.78,0,0,1
4,male,low_vol,51,FALSE,0.65,0,20,1968.205,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,52,FALSE,0.65,0,20,1335.87,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,53,FALSE,0.65,0,20,1286.03,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,54,FALSE,0.65,0,20,1155.885,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,55,FALSE,0.65,0,0,1264.45,0.04,1385.93,neither,computer,2.78,0,0,0
4,male,low_vol,56,FALSE,0.65,0,0,1177.31,0.04,1385.93,neither,computer,2.78,0,0,0
4,male,low_vol,57,FALSE,0.65,0,20,1349.27,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,58,FALSE,0.65,0,20,1003.78,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,59,FALSE,0.65,0,20,1261.56,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,60,FALSE,0.65,0,20,1068.425,0.04,1385.93,neither,computer,2.78,0,0,1
4,male,low_vol,61,FALSE,0.65,0,0,1668.285,0.04,1837.27,neither,computer,2.78,0,0,0
4,male,low_vol,62,FALSE,0.65,0,20,966.965,0.04,1837.27,neither,computer,2.78,0,0,1
4,male,low_vol,63,FALSE,0.65,0,0,1092.3,0.04,1837.27,neither,computer,2.78,0,0,0
4,male,low_vol,64,FALSE,0.65,0,0,843.35,0.04,1837.27,neither,computer,2.78,0,0,0
4,male,low_vol,65,FALSE,0.65,0,20,807.27,0.04,1837.27,neither,computer,2.78,0,0,1
4,male,low_vol,66,FALSE,0.65,0,0,1020.22,0.04,1837.27,neither,computer,2.78,0,0,0
4,male,low_vol,67,FALSE,0.65,0,20,790.305,0.04,1837.27,neither,computer,2.78,0,0,1
4,male,low_vol,68,FALSE,0.65,0,20,1353.78,0.04,1837.27,neither,computer,2.78,0,0,1
4,male,low_vol,69,FALSE,0.65,0,0,1184.16,0.04,1837.27,neither,computer,2.78,0,0,0
4,male,low_vol,70,FALSE,0.65,0,20,1140.455,0.04,1837.27,neither,computer,2.78,0,0,1
4,male,low_vol,71,FALSE,0.65,0,20,1738.25,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,72,FALSE,0.65,0,20,1764.42,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,73,FALSE,0.65,0,0,945.03,0.04,1065.655,neither,computer,2.78,0,0,0
4,male,low_vol,74,FALSE,0.65,0,20,1181.625,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,75,FALSE,0.65,0,20,1552.08,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,76,FALSE,0.65,0,20,1601.875,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,77,FALSE,0.65,0,20,1861.82,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,78,FALSE,0.65,0,0,1314.13,0.04,1065.655,neither,computer,2.78,0,0,0
4,male,low_vol,79,FALSE,0.65,0,20,1571.925,0.04,1065.655,neither,computer,2.78,0,0,1
4,male,low_vol,80,FALSE,0.65,0,0,1563.76,0.04,1065.655,neither,computer,2.78,0,0,0
5,female,low_vol,1,TRUE,0.35,20,0,7065.67,0,3690.485,defector,human,1.8,0,1,0
5,female,low_vol,2,TRUE,0.35,20,0,5524.14,0,3690.485,defector,human,1.8,0,1,0
5,female,low_vol,3,TRUE,0.35,0,20,1887.82,0,3690.485,defector,human,1.8,0,0,1
5,female,low_vol,4,TRUE,0.35,0,0,1444.715,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,5,TRUE,0.35,0,0,1203.72,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,6,TRUE,0.35,0,0,2036.71,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,7,TRUE,0.35,0,0,1756.335,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,8,TRUE,0.35,0,0,1436.15,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,9,TRUE,0.35,0,0,1420.865,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,10,TRUE,0.35,0,0,2058.985,0,3690.485,defector,human,1.8,0,0,0
5,female,low_vol,11,TRUE,0.35,0,0,1669.18,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,12,TRUE,0.35,0,20,1209.935,0,4573.45,defector,human,1.8,0,0,1
5,female,low_vol,13,TRUE,0.35,0,0,2011.955,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,14,TRUE,0.35,0,0,1390.31,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,15,TRUE,0.35,0,0,2174.715,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,16,TRUE,0.35,0,0,1281.905,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,17,TRUE,0.35,0,0,3246.265,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,18,TRUE,0.35,0,0,1297.92,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,19,TRUE,0.35,0,0,1344.19,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,20,TRUE,0.35,0,0,1544.595,0,4573.45,defector,human,1.8,0,0,0
5,female,low_vol,21,TRUE,0.35,0,0,1281.485,0,3668.01,defector,human,1.8,0,0,0
5,female,low_vol,22,TRUE,0.35,0,0,2314.205,0,3668.01,defector,human,1.8,0,0,0
5,female,low_vol,23,TRUE,0.35,0,0,1523.7,0,3668.01,defector,human,1.8,0,0,0
